Date : 2020-12-03 10:48:19
Directory : /home/fancy/文档/cpp_project/Magic+
Total : 67 files,  5911 codes, 410 comments, 798 blanks, all 7119 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| JSON        |         13 |      2,407 |          0 |         11 |      2,418 |
| C++         |         14 |      1,273 |        214 |        215 |      1,702 |
| CMake       |         33 |        574 |          0 |        136 |        710 |
| C           |          1 |        507 |         50 |        115 |        672 |
| Log         |          1 |        425 |          0 |         39 |        464 |
| Makefile    |          2 |        377 |        146 |        199 |        722 |
| CMake Cache |          1 |        321 |          0 |         74 |        395 |
| Markdown    |          1 |         17 |          0 |          9 |         26 |
| Database    |          1 |         10 |          0 |          0 |         10 |
+-------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |         67 |      5,911 |        410 |        798 |      7,119 |
| build                                                                                                         |         52 |      5,107 |        248 |        687 |      6,042 |
| build/.cmake                                                                                                  |         12 |      2,340 |          0 |         11 |      2,351 |
| build/.cmake/api                                                                                              |         12 |      2,340 |          0 |         11 |      2,351 |
| build/.cmake/api/v1                                                                                           |         12 |      2,340 |          0 |         11 |      2,351 |
| build/.cmake/api/v1/query                                                                                     |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/query/client-vscode                                                                       |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/reply                                                                                     |         11 |      2,339 |          0 |         11 |      2,350 |
| build/CMakeFiles                                                                                              |         12 |      1,691 |        102 |        332 |      2,125 |
| build/CMakeFiles/3.16.3                                                                                       |          5 |      1,143 |        102 |        270 |      1,515 |
| build/CMakeFiles/3.16.3/CompilerIdC                                                                           |          1 |        507 |         50 |        115 |        672 |
| build/CMakeFiles/3.16.3/CompilerIdCXX                                                                         |          1 |        496 |         52 |        113 |        661 |
| build/CMakeFiles/Magic+.dir                                                                                   |          2 |         30 |          0 |          6 |         36 |
| build/CMakeFiles/MagicPlus.dir                                                                                |          2 |         28 |          0 |          6 |         34 |
| build/src                                                                                                     |         24 |        511 |         75 |        185 |        771 |
| build/src/CMakeFiles                                                                                          |         22 |        232 |          0 |         54 |        286 |
| build/src/CMakeFiles/admin.dir                                                                                |          3 |         30 |          0 |          7 |         37 |
| build/src/CMakeFiles/arithmetic.dir                                                                           |          3 |         30 |          0 |          7 |         37 |
| build/src/CMakeFiles/cmdanaly.dir                                                                             |          3 |         30 |          0 |          7 |         37 |
| build/src/CMakeFiles/database.dir                                                                             |          3 |         30 |          0 |          7 |         37 |
| build/src/CMakeFiles/loop.dir                                                                                 |          3 |         30 |          0 |          7 |         37 |
| build/src/CMakeFiles/magicplus.dir                                                                            |          3 |         40 |          0 |          7 |         47 |
| build/src/CMakeFiles/opstring.dir                                                                             |          3 |         30 |          0 |          7 |         37 |
| database                                                                                                      |          1 |         10 |          0 |          0 |         10 |
| include                                                                                                       |          6 |        143 |         51 |         43 |        237 |
| src                                                                                                           |          6 |        623 |         98 |         58 |        779 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                      | language    | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| /home/fancy/文档/cpp_project/Magic+/README.md                                                                   | Markdown    |         17 |          0 |          9 |         26 |
| /home/fancy/文档/cpp_project/Magic+/build/.cmake/api/v1/query/client-vscode/query.json                          | JSON        |          1 |          0 |          0 |          1 |
| /home/fancy/文档/cpp_project/Magic+/build/.cmake/api/v1/reply/cache-v2-503bd3b8ded7638ca561.json                | JSON        |      1,275 |          0 |          1 |      1,276 |
